census_block_group,Median Esimated Visitor Count,Total Population,Percent Male,Median Age,Percent Two races excluding Some other race and three or more races,Percent White alone,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Native Hawaiian and Other Pacific Islander alone,Percent Some other race alone,Percent Two or more races,Percent Asian alone & Two races including Some other race,Total Households,Percent Households with one or more people under 18 years,Percent Households with one or more people 60 years and over,Percent over 25 without a high school diploma,Percent over 25 with a bachelor’s degree or higher,Percent Households Income in the past 12 months below poverty level,Median Household Income,Percent Household received Food Stamps/SNAP,Percent Households received Food Stamps/SNAP have disability,Percent Employed,Percent Civilian labor force,Cluster
360050087002,12.042216456634545,1713,0.4897840046701693,32.5,0.026853473438412143,0.14535901926444833,0.20023350846468185,0.0,0.0,0.6217162872154116,0.03269118505545826,0.005837711617046118,524,0.4198473282442748,0.400763358778626,0.3663194444444444,0.1449652777777778,0.3473282442748092,29632.0,0.5019083969465649,0.46768060836501896,0.8633093525179856,0.4057209573847052,2
360050087003,11.271565495207668,882,0.4739229024943311,31.6,0.0,0.011337868480725623,0.2380952380952381,0.0,0.0,0.7505668934240363,0.0,0.0,301,0.4152823920265781,0.3920265780730897,0.3675675675675676,0.0072072072072072065,0.425249169435216,28083.0,0.6146179401993356,0.5513513513513513,0.8833333333333333,0.4081632653061225,2
360050087004,8.371405901688894,834,0.5239808153477218,39.7,0.04796163069544365,0.1642685851318945,0.2002398081534772,0.0971223021582734,0.0,0.4580335731414868,0.0803357314148681,0.03237410071942446,324,0.3240740740740741,0.4845679012345679,0.42026578073089704,0.11129568106312293,0.4907407407407408,27841.0,0.3364197530864197,0.36697247706422015,1.0,0.4484412470023981,2
360050087005,9.007271874266948,1315,0.5178707224334601,29.9,0.0,0.1391634980988593,0.30798479087452474,0.0,0.0,0.5528517110266159,0.0,0.0,469,0.4328358208955224,0.1961620469083156,0.2105911330049261,0.10714285714285714,0.5351812366737739,16607.0,0.6076759061833689,0.312280701754386,0.901123595505618,0.33840304182509506,2
360050089001,11.348354403745331,1515,0.4270627062706271,26.6,0.0132013201320132,0.09966996699669968,0.32739273927392737,0.0,0.0,0.5597359735973597,0.0132013201320132,0.0,566,0.1855123674911661,0.6007067137809188,0.36627906976744173,0.08604651162790697,0.4081272084805654,,0.6095406360424028,0.7478260869565218,0.8019093078758951,0.2765676567656766,2
360050089002,12.229841932905293,1703,0.5554903112155021,41.9,0.053435114503816786,0.184380504991192,0.1984732824427481,0.05167351732237229,0.0,0.4785672342924252,0.08690546095126248,0.03347034644744568,611,0.414075286415712,0.22749590834697214,0.18492063492063493,0.21904761904761905,0.2193126022913257,41486.0,0.37643207855973815,0.34347826086956523,1.0,0.4985320023487962,2
360050090001,1.754911754911755,34,0.6764705882352942,87.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,0.0,1.0,0.0,0.2647058823529412,0.0,,0.0,,,0.0,0
360050090002,5.280338961613861,332,0.4487951807228915,28.9,0.0,0.427710843373494,0.18373493975903613,0.0,0.0,0.3885542168674699,0.0,0.0,91,0.8021978021978022,0.1978021978021978,0.12568306010928962,0.04371584699453552,0.3736263736263736,55875.0,0.5714285714285714,0.3461538461538461,0.9109589041095891,0.4397590361445783,2
360050090003,8.223139038753128,848,0.3325471698113208,27.2,0.0,0.43985849056603776,0.09551886792452832,0.0,0.0,0.4646226415094339,0.0,0.0,271,0.5018450184501845,0.3579335793357933,0.3556581986143187,0.09237875288683604,0.4280442804428044,24688.0,0.6236162361623616,0.7810650887573964,1.0,0.23702830188679244,2
360050090004,8.946509732410515,851,0.6110458284371327,25.7,0.0,0.3748531139835488,0.3301997649823737,0.02350176263219741,0.0,0.18331374853113985,0.0,0.0881316098707403,211,0.5781990521327014,0.2890995260663507,0.09699769053117784,0.22401847575057734,0.15165876777251186,83281.0,0.10426540284360188,1.0,0.9883720930232558,0.4042303172737956,3
360050090005,7.519922883852898,1394,0.43185078909612623,37.0,0.022955523672883792,0.5057388809182211,0.3493543758967001,0.0,0.0,0.12195121951219512,0.022955523672883792,0.0,582,0.3573883161512028,0.3917525773195876,0.5093360995850622,0.06327800829875517,0.4243986254295533,19167.0,0.4982817869415808,0.7482758620689656,0.8409090909090909,0.2525107604017217,2
360050092001,10.589789038334548,1100,0.4690909090909091,34.7,0.0,0.07818181818181819,0.2636363636363636,0.0,0.0,0.4090909090909091,0.02090909090909091,0.2490909090909091,382,0.32722513089005234,0.450261780104712,0.31076923076923074,0.12923076923076926,0.2774869109947644,35385.0,0.4293193717277487,0.4390243902439024,0.7904967602591793,0.4209090909090909,2
360050092002,12.441689594467812,958,0.5501043841336117,30.6,0.06784968684759916,0.22755741127348644,0.14509394572025053,0.0,0.0,0.4979123173277662,0.06784968684759916,0.0615866388308977,267,0.5056179775280899,0.3408239700374532,0.10286677908937604,0.07925801011804384,0.31086142322097376,60104.0,0.352059925093633,0.28723404255319146,0.8508997429305912,0.4060542797494781,2
360050092003,11.734955996761038,2165,0.4364896073903001,31.8,0.018937644341801386,0.2138568129330254,0.14318706697459585,0.0,0.0,0.4161662817551963,0.12193995381062354,0.20785219399538107,629,0.4515103338632751,0.2082670906200318,0.24320241691842898,0.2016616314199396,0.2146263910969793,52180.0,0.3068362480127186,0.6476683937823835,0.925925925925926,0.5861431870669745,2
